time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1710594579.09778595,0.01223602,10986,0.00141799,0.00000000,0,0.00000000,543,615,245,0.00000000
1710594579.19767904,0.00727702,10856,0.00044206,0.00000000,0,0.00000000,615,584,152,0.00079202
1710594579.29790998,0.00941331,11095,0.00053038,0.00000000,0,0.00000000,584,562,105,0.00127767
1710594579.39778757,0.01229907,11143,0.00085171,0.00000000,0,0.00000000,562,528,88,0.00061022
1710594579.49762821,0.00660414,10893,0.00016199,0.00000000,0,0.00000000,528,583,78,0.00088547
1710594579.59791160,0.00837362,11000,0.00027089,0.00000000,0,0.00000000,583,623,58,0.00122962
1710594579.69781899,0.00645088,11047,0.00011707,0.00000000,0,0.00000000,623,612,65,0.00092732
1710594579.79764986,0.00771331,11071,0.00026145,0.00000000,0,0.00000000,612,593,67,0.00092644
1710594579.89793205,0.00810208,11241,0.00015611,0.00000000,0,0.00000000,593,606,61,0.00072925
1710594579.99780917,0.00708903,10992,0.00012385,0.00000000,0,0.00000000,606,643,61,0.00082192
1710594580.09784627,0.00721368,11121,0.00024221,0.00000000,0,0.00000000,643,602,59,0.00053912
1710594580.19778585,0.00725769,11262,0.00011880,0.00000000,0,0.00000000,602,610,45,0.00051851
1710594580.29787970,0.00683644,10997,0.00010244,0.00000000,0,0.00000000,610,640,39,0.00055707
1710594580.39795065,0.00693817,11171,0.00006910,0.00000000,0,0.00000000,640,666,33,0.00070102
1710594580.49791503,0.00768285,11177,0.00020291,0.00000000,0,0.00000000,666,666,33,0.00085474
1710594580.59789848,0.00787055,11152,0.00010300,0.00000000,0,0.00000000,666,694,32,0.00083936
1710594580.69799161,0.00728482,11084,0.00015584,0.00000000,0,0.00000000,694,675,27,0.00051449
1710594580.79795337,0.00708692,11050,0.00007162,0.00000000,0,0.00000000,675,692,24,0.00068004
1710594580.89787960,0.00653172,11043,0.00008796,0.00000000,0,0.00000000,692,685,28,0.00055303
1710594580.99796176,0.00824705,11293,0.00008382,0.00000000,0,0.00000000,685,702,23,0.00072157
1710594581.09793282,0.00770296,11022,0.00012756,0.00000000,0,0.00000000,702,687,26,0.00064227
1710594581.19782424,0.00801311,11115,0.00030776,0.00000000,0,0.00000000,687,649,30,0.00051390
1710594581.29771495,0.00753368,11237,0.00014675,0.00000000,0,0.00000000,649,623,23,0.00065995
1710594581.39798069,0.00821466,11005,0.00009336,0.00000000,0,0.00000000,623,647,33,0.00073786
1710594581.49786568,0.00620355,11277,0.00003910,0.00000000,0,0.00000000,647,668,26,0.00071573
1710594581.59797025,0.00722746,11067,0.00004741,0.00000000,0,0.00000000,668,684,17,0.00062208
1710594581.69768286,0.00731301,11023,0.00009600,0.00000000,0,0.00000000,684,678,22,0.00104832
1710594581.79789424,0.00831494,11215,0.00009086,0.00000000,0,0.00000000,678,694,25,0.00056357
1710594581.89785671,0.00590936,11060,0.00003140,0.00000000,0,0.00000000,694,702,18,0.00083460
1710594581.99796128,0.00829685,10966,0.00010553,0.00000000,0,0.00000000,702,688,15,0.00063908
1710594582.09793735,0.00641008,11143,0.00005155,0.00000000,0,0.00000000,688,684,14,0.00065813
1710594582.19782066,0.00860941,11042,0.00010617,0.00000000,0,0.00000000,684,691,21,0.00077681
1710594582.29795074,0.00701567,11070,0.00008231,0.00000000,0,0.00000000,691,698,32,0.00049761
1710594582.39786863,0.00737008,11127,0.00007128,0.00000000,0,0.00000000,698,708,16,0.00075986
1710594582.49775457,0.00687943,10856,0.00008829,0.00000000,0,0.00000000,708,713,20,0.00064904
1710594582.59799981,0.00900628,11075,0.00006451,0.00000000,0,0.00000000,713,723,15,0.00077210
1710594582.69796085,0.00772296,11066,0.00013320,0.00000000,0,0.00000000,723,689,16,0.00067465
1710594582.79768085,0.00790130,10903,0.00009040,0.00000000,0,0.00000000,689,699,24,0.00056073
1710594582.89797068,0.00724685,11063,0.00006109,0.00000000,0,0.00000000,699,709,21,0.00077916
1710594582.99795175,0.00795569,10962,0.00005053,0.00000000,0,0.00000000,709,724,17,0.00085137
1710594583.09772325,0.00694536,10815,0.00006136,0.00000000,0,0.00000000,724,731,12,0.00066361
1710594583.19783187,0.00799822,11175,0.00014858,0.00000000,0,0.00000000,731,741,36,0.00069399
1710594583.29792905,0.00703786,11021,0.00009709,0.00000000,0,0.00000000,741,742,17,0.00055121
1710594583.39788771,0.00758845,11027,0.00007059,0.00000000,0,0.00000000,742,739,13,0.00059031
1710594583.49799943,0.00355452,11049,0.00003542,0.00000000,0,0.00000000,739,753,19,0.00078722
1710594583.59789991,0.00274147,10921,0.00003751,0.00000000,0,0.00000000,753,755,15,0.00059732
1710594583.69773436,0.00739604,10938,0.00014074,0.00000000,0,0.00000000,755,721,20,0.00055546
1710594583.79776692,0.00814208,11004,0.00007073,0.00000000,0,0.00000000,721,738,17,0.00095537
1710594583.89793444,0.00589165,10892,0.00002460,0.00000000,0,0.00000000,738,744,13,0.00031655
1710594583.99771500,0.00764049,11028,0.00008045,0.00000000,0,0.00000000,744,724,17,0.00019105
1710594584.09766603,0.00746332,10963,0.00009890,0.00000000,0,0.00000000,724,702,9,0.00072248
1710594584.19771647,0.00774854,10921,0.00004854,0.00000000,0,0.00000000,702,712,16,0.00063416
1710594584.29777336,0.00698948,11071,0.00003224,0.00000000,0,0.00000000,712,715,7,0.00051221
1710594584.39769530,0.00755263,11136,0.00011790,0.00000000,0,0.00000000,715,700,17,0.00053158
1710594584.49793863,0.00642503,10859,0.00002514,0.00000000,0,0.00000000,700,709,12,0.00059988
1710594584.59770012,0.00721595,11032,0.00005712,0.00000000,0,0.00000000,709,706,15,0.00065567
1710594584.69768810,0.00670106,10951,0.00004168,0.00000000,0,0.00000000,706,713,9,0.00056517
1710594584.79763436,0.00696736,10933,0.00006421,0.00000000,0,0.00000000,713,711,14,0.00082247
1710594584.89771581,0.00777415,11004,0.00002347,0.00000000,0,0.00000000,711,715,6,0.00069693
1710594584.99767423,0.00648923,10983,0.00002573,0.00000000,0,0.00000000,715,723,10,0.00076765
1710594585.09798408,0.00786731,10892,0.00008235,0.00000000,0,0.00000000,723,713,14,0.00078840
1710594585.19797421,0.00766172,11085,0.00003831,0.00000000,0,0.00000000,713,723,10,0.00082738
1710594585.29801416,0.00587533,10811,0.00001512,0.00000000,0,0.00000000,723,732,11,0.00030555
1710594585.39779305,0.00714556,11069,0.00003788,0.00000000,0,0.00000000,732,737,7,0.00100066
1710594585.49773598,0.00617362,11040,0.00001485,0.00000000,0,0.00000000,737,742,7,0.00081482
1710594585.59768391,0.00727389,11042,0.00002627,0.00000000,0,0.00000000,742,749,10,0.00071210
1710594585.69793725,0.00724227,11054,0.00006337,0.00000000,0,0.00000000,749,732,14,0.00088187
1710594585.79798865,0.00712658,11003,0.00005341,0.00000000,0,0.00000000,732,731,11,0.00057295
1710594585.89769816,0.00645681,11007,0.00002440,0.00000000,0,0.00000000,731,731,9,0.00078189
1710594585.99799109,0.00689937,11005,0.00002146,0.00000000,0,0.00000000,731,730,5,0.00087345
1710594586.09799886,0.00760854,10914,0.00005100,0.00000000,0,0.00000000,730,735,13,0.00063738
1710594586.19791293,0.00603483,11136,0.00002660,0.00000000,0,0.00000000,735,740,10,0.00053916
1710594586.29795504,0.00649001,11128,0.00003546,0.00000000,0,0.00000000,740,750,12,0.00039246
1710594586.39778423,0.00758657,10803,0.00007278,0.00000000,0,0.00000000,750,756,17,0.00084225
1710594586.49773788,0.00686221,11172,0.00005165,0.00000000,0,0.00000000,756,769,14,0.00039565
1710594586.59799075,0.00769224,11065,0.00003330,0.00000000,0,0.00000000,769,778,11,0.00078790
1710594586.69780827,0.00767564,10983,0.00005690,0.00000000,0,0.00000000,778,783,14,0.00079302
1710594586.79777789,0.00726683,11180,0.00004599,0.00000000,0,0.00000000,783,790,13,0.00070211
1710594586.89805269,0.00762678,10939,0.00003400,0.00000000,0,0.00000000,790,797,8,0.00055589
1710594586.99776220,0.00697206,11180,0.00004531,0.00000000,0,0.00000000,797,794,11,0.00076747
1710594587.09774423,0.00616328,11262,0.00002860,0.00000000,0,0.00000000,794,796,6,0.00067589
1710594587.19767284,0.00774452,11008,0.00004861,0.00000000,0,0.00000000,796,791,9,0.00083628
1710594587.29802036,0.00672328,11222,0.00002239,0.00000000,0,0.00000000,791,797,6,0.00051536
1710594587.39775681,0.00704866,11164,0.00002303,0.00000000,0,0.00000000,797,802,8,0.00078725
1710594587.49768472,0.00656574,11176,0.00003475,0.00000000,0,0.00000000,802,789,10,0.00052117
1710594587.59798789,0.00760978,11310,0.00004759,0.00000000,0,0.00000000,789,791,13,0.00105727
1710594587.69777870,0.00702486,11011,0.00003599,0.00000000,0,0.00000000,791,794,8,0.00087492
1710594587.79770470,0.00739004,11200,0.00003757,0.00000000,0,0.00000000,794,786,4,0.00079712
